	14458.ERR2373139	14458.ERR2373140	14458.ERR2373058	14458.ERR2373061	14458.ERR2373067	14458.ERR2373068	14458.ERR2373069	14458.ERR2373074	14458.ERR2373075	14458.ERR2373076	14458.ERR2373077	14458.ERR2373098	14458.ERR2373078	14458.ERR2373080	14458.ERR2373083	14458.ERR2373081	14458.ERR2373085	14458.ERR2373055	14458.ERR2373103	14458.ERR2373106	14458.ERR2373107	14458.ERR2373138	14458.ERR2373144	14458.ERR2373146	14458.ERR2373050	14458.ERR2373053	14458.ERR2373052	14458.ERR2373125	14458.ERR2373089	14458.ERR2373090	14458.ERR2373092	14458.ERR2373093	14458.ERR2373095	14458.ERR2373096	14458.ERR2373097	14458.ERR2373133	14458.ERR2373109	14458.ERR2373112	14458.ERR2373110	14458.ERR2373111	14458.ERR2373134	14458.ERR2373118	14458.ERR2373121	14458.ERR2373122	14458.ERR2373119	14458.ERR2373123	14458.ERR2373124	14458.ERR2373117	14458.ERR2373127	14458.ERR2373136
G000010425	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	8.0	0	0	0	0	1.0	0	48.0	0	0	0	0	0	0	0	0
G000010505	378.0	2.0	17.0	1.0	223.0	943.0	5.0	66.0	11088.0	405.0	142.0	11.0	829.0	84.0	56.0	2629.0	29.0	12054.0	2.0	22.0	412.0	54.0	35.0	4.0	249.0	11946.0	639.0	8.0	6.0	6688.0	17.0	77.0	18690.0	4.0	49.0	1806.0	4.0	1711.0	31.0	5.0	59.0	3342.0	0	13.0	257.0	515.0	7521.0	45.0	7.0	10.0
G000010585	0	10.0	0	1.0	4.0	7.0	6.0	25.0	18.0	12.0	96.0	96.0	2.0	5.0	12.0	860.0	0	58.0	0	2.0	291.0	39.0	22.0	5.0	6.0	0	0	14.0	0	15.0	2.0	284.0	11.0	0	65.0	0	4.0	2.0	2.0	70.0	4.0	4.0	10.0	838.0	1.0	77.0	0	130.0	2.0	0
G000010645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000011025	423.0	11554.0	114.0	4072.0	1908.0	20800.0	58300.0	5390.0	10282.0	1100.0	2821.0	2086.0	7315.0	9574.0	1973.0	275750.0	4910.0	31864.0	651.0	2451.0	1721.0	1253.0	9650.0	2293.0	1602.0	3697.0	36179.0	15473.0	1024.0	564.0	18829.0	73906.0	15690.0	516.0	3149.0	1310.0	1123.0	10871.0	1323.0	10149.0	1014.0	3460.0	32184.0	13785.0	29249.0	7227.0	14679.0	26548.0	818.0	2722.0
G000011065	0	1.0	3.0	2.0	5.0	1.0	1.0	22.0	26.0	0	1.0	1.0	0	5.0	11.0	3.0	1.0	13.0	0	6.0	8.0	10.0	2.0	1.0	2.0	0	53.0	0	1.0	3.0	1.0	4.0	57.0	1.0	5.0	0	0	5.0	8.0	24.0	0	3.0	5.0	1.0	104.0	3.0	4.0	51.0	1.0	0
G000011245	0	0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0	0	0	0	0	2.0	0	1.0	0	1.0	1.0	2.0	0	1.0	0	0	1.0	0	1.0	0	0	4.0	1.0	0	0	0	0	0	2.0	0	0	0	1.0	2.0	0	0	0	0	1.0	1.0
G000011305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G000011365	0	0	0	0	0	3.0	0	2.0	1.0	0	0	1.0	0	1.0	1.0	1.0	0	0	1.0	0	0	1.0	1.0	0	0	0	0	0	1.0	0	1.0	0	0	1.0	0	1.0	1.0	0	0	1.0	0	0	3.0	2.0	1.0	0	0	0	0	0
G000011645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
