	14458.ERR2373068	14458.ERR2373096	14458.ERR2373109	14458.ERR2373092	14458.ERR2373133	14458.ERR2373106	14458.ERR2373103	14458.ERR2373097	14458.ERR2373125	14458.ERR2373112	14458.ERR2373076	14458.ERR2373134	14458.ERR2373093	14458.ERR2373121	14458.ERR2373090	14458.ERR2373089	14458.ERR2373111	14458.ERR2373050	14458.ERR2373095	14458.ERR2373077	14458.ERR2373058	14458.ERR2373061	14458.ERR2373067	14458.ERR2373098	14458.ERR2373107	14458.ERR2373139	14458.ERR2373140	14458.ERR2373146	14458.ERR2373138	14458.ERR2373144	14458.ERR2373085	14458.ERR2373083	14458.ERR2373080	14458.ERR2373078	14458.ERR2373081	14458.ERR2373069	14458.ERR2373074	14458.ERR2373075	14458.ERR2373136	14458.ERR2373110	14458.ERR2373117	14458.ERR2373053	14458.ERR2373055	14458.ERR2373052	14458.ERR2373118	14458.ERR2373124	14458.ERR2373127	14458.ERR2373123	14458.ERR2373119	14458.ERR2373122
G011303955	1.0	0	0	0	0	0	0	2.0	1.0	0	0	0	2.0	1.0	0	1.0	1.0	1.0	3.0	0	0	1.0	0	1.0	1.0	0	0	0	3.0	0	1.0	0	0	0	3.0	1.0	2.0	1.0	0	0	1.0	1.0	1.0	2.0	1.0	0	0	1.0	1.0	1.0
G011304195	0	0	0	1.0	0	0	0	1.0	1.0	0	0	0	2.0	1.0	0	1.0	1.0	0	3.0	1.0	1.0	0	0	1.0	1.0	0	0	0	2.0	0	0	0	0	0	3.0	1.0	2.0	1.0	1.0	1.0	2.0	0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0
G011382965	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	1.0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0
G011392115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G011397115	8.0	2.0	0	9.0	0	1.0	0	2.0	1.0	27.0	1.0	1.0	196.0	3.0	2.0	1.0	3.0	2.0	21.0	3.0	1.0	2.0	2.0	3.0	4.0	0	0	7.0	4.0	50.0	1.0	6.0	4.0	25.0	33.0	7.0	6.0	15.0	13.0	21.0	34.0	9.0	63.0	34.0	12.0	1.0	4.0	22.0	87.0	18.0
G011405655	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G011421455	0	0	0	0	0	0	0	1.0	0	0	0	0	8.0	0	0	0	1.0	0	2.0	1.0	1.0	1.0	0	1.0	1.0	0	0	0	2.0	1.0	0	0	0	0	4.0	2.0	1.0	0	1.0	2.0	1.0	0	1.0	1.0	0	0	2.0	0	0	3.0
G011440275	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G011455495	6.0	0	0	1.0	0	0	0	0	1.0	0	0	0	3.0	1.0	0	1.0	0	3.0	9.0	0	0	6.0	0	1.0	4.0	0	0	0	3.0	11.0	0	0	2.0	9.0	15.0	8.0	19.0	0	6.0	3.0	1.0	0	0	2.0	0	1.0	1.0	2.0	1.0	0
G011455695	3.0	1.0	0	4.0	1.0	1.0	0	0	1.0	1.0	0	0	10.0	4.0	0	1.0	3.0	12.0	21.0	1.0	1.0	27.0	1.0	4.0	12.0	0	1.0	0	10.0	32.0	1.0	1.0	5.0	34.0	17.0	14.0	28.0	1.0	17.0	9.0	5.0	0	1.0	7.0	0	3.0	3.0	6.0	6.0	1.0
G011455875	0	0	0	1.0	0	1.0	0	0	1.0	1.0	0	0	2.0	1.0	0	0	1.0	0	8.0	0	0	2.0	0	1.0	3.0	0	0	0	1.0	2.0	0	0	1.0	3.0	5.0	5.0	6.0	0	3.0	1.0	2.0	0	0	2.0	0	0	1.0	1.0	1.0	0
G011462075	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	1.0	1.0	0	1.0	0	0	1.0	0
G011516645	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G011600945	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	5.0	0
G011604665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G011612265	52.0	2.0	3.0	249.0	8.0	7.0	1.0	170.0	31.0	18.0	2.0	0	263.0	39.0	66.0	8.0	685.0	12.0	152.0	7.0	51.0	0	15.0	2.0	12.0	2.0	20.0	3.0	22.0	20.0	32.0	37.0	11.0	35.0	130.0	3.0	123.0	186.0	9.0	11.0	480.0	134.0	286.0	44.0	13.0	19.0	18.0	416.0	71.0	15.0
G011612585	302.0	23.0	13.0	394.0	40.0	164.0	6.0	448.0	185.0	177.0	35.0	124.0	1346.0	208.0	160.0	89.0	338.0	93.0	1249.0	103.0	229.0	110.0	177.0	190.0	172.0	13.0	29.0	109.0	226.0	601.0	162.0	101.0	109.0	66.0	2782.0	342.0	336.0	367.0	327.0	320.0	653.0	1284.0	578.0	297.0	71.0	210.0	334.0	387.0	451.0	607.0
